M,RC Mean Loss,RC Mean Acc,RC Std Loss,RC Std Acc,OC Loss,OC Acc
16,0.4707029799620311,0.8619140625,0.008069647593460464,0.013435795451865174,0.4696927011013031,0.8609375
32,0.4707029799620311,0.8619140625,0.008069647593460464,0.013435795451865174,0.472956919670105,0.855078125
64,0.4707029799620311,0.8619140625,0.008069647593460464,0.013435795451865174,0.46631783843040464,0.8685546875
128,0.4707029799620311,0.8619140625,0.008069647593460464,0.013435795451865174,0.4729656517505646,0.854296875
256,0.4707029799620311,0.8619140625,0.008069647593460464,0.013435795451865174,0.46912598609924316,0.86640625
512,0.4707029799620311,0.8619140625,0.008069647593460464,0.013435795451865174,0.46954736709594724,0.8599609375
1024,0.4707029799620311,0.8619140625,0.008069647593460464,0.013435795451865174,0.4638987898826599,0.864453125
2048,0.4707029799620311,0.8619140625,0.008069647593460464,0.013435795451865174,0.4653643429279327,0.8693359375
4096,0.4707029799620311,0.8619140625,0.008069647593460464,0.013435795451865174,0.465218585729599,0.8533203125
8192,0.4707029799620311,0.8619140625,0.008069647593460464,0.013435795451865174,0.45614216327667234,0.86640625
9216,0.4707029799620311,0.8619140625,0.008069647593460464,0.013435795451865174,0.4544102787971497,0.8744140625
